id,x_tol_m,x_dot_tol_mps,theta_tol_rad,theta_dot_tol_rps,q_theta_over_x,q_theta_dot_over_x_dot,r_scale,q,r,survival_s,max_cart_m,max_theta_deg,avg_abs_u,score,success
35,0.5,1.0,0.2,2.8,6.249999999999999,0.1275510204081633,0.5,"[4.0, 1.0, 24.999999999999996, 0.1275510204081633]",0.05,400.0,1.5854034423828125,36.176326751708984,24.947423934936523,397.7353515625,True
36,0.5,1.0,0.2,2.8,6.249999999999999,0.1275510204081633,0.7,"[4.0, 1.0, 24.999999999999996, 0.1275510204081633]",0.06999999999999999,400.0,1.7703616619110107,39.66082763671875,24.720882415771484,397.5799560546875,True
37,0.5,1.0,0.2,2.8,6.249999999999999,0.1275510204081633,0.9,"[4.0, 1.0, 24.999999999999996, 0.1275510204081633]",0.09000000000000001,400.0,1.9054691791534424,42.34275436401367,24.742998123168945,397.4581298828125,True
38,0.5,1.0,0.2,2.8,6.249999999999999,0.1275510204081633,1.1,"[4.0, 1.0, 24.999999999999996, 0.1275510204081633]",0.11000000000000001,400.0,2.025951385498047,44.28765106201172,24.96197509765625,397.3524169921875,True
39,0.5,1.0,0.2,2.8,6.249999999999999,0.1275510204081633,1.3,"[4.0, 1.0, 24.999999999999996, 0.1275510204081633]",0.13,79.2300033569336,2.1223487854003906,45.808746337890625,25.141538619995117,76.49840545654297,False
40,0.5,1.0,0.2,2.8,6.249999999999999,0.1275510204081633,1.5,"[4.0, 1.0, 24.999999999999996, 0.1275510204081633]",0.15000000000000002,67.70999908447266,2.2163684368133545,46.990760803222656,25.289710998535156,64.90331268310547,False
41,0.5,1.0,0.2,2.8,6.249999999999999,0.1275510204081633,1.8,"[4.0, 1.0, 24.999999999999996, 0.1275510204081633]",0.18000000000000002,9.289999961853027,2.333875894546509,48.7919807434082,25.464981079101562,6.383273124694824,False
42,0.5,1.0,0.25,0.5,4.0,4.0,0.5,"[4.0, 1.0, 16.0, 4.0]",0.05,400.0,1.4323406219482422,32.3109245300293,23.899744033813477,397.920654296875,True
43,0.5,1.0,0.25,0.5,4.0,4.0,0.7,"[4.0, 1.0, 16.0, 4.0]",0.06999999999999999,400.0,1.625857949256897,35.9671516418457,24.01527214050293,397.7472839355469,True
44,0.5,1.0,0.25,0.5,4.0,4.0,0.9,"[4.0, 1.0, 16.0, 4.0]",0.09000000000000001,400.0,1.7830045223236084,38.7492561340332,24.286169052124023,397.60491943359375,True
45,0.5,1.0,0.25,0.5,4.0,4.0,1.1,"[4.0, 1.0, 16.0, 4.0]",0.11000000000000001,400.0,1.9142104387283325,41.06325149536133,24.509654998779297,397.4863586425781,True
46,0.5,1.0,0.25,0.5,4.0,4.0,1.3,"[4.0, 1.0, 16.0, 4.0]",0.13,400.0,2.024495840072632,42.91879653930664,24.69504165649414,397.3885498046875,True
